time,x,y,z
11:08.4,0.4516,3.4857,9.5775
11:08.5,-0.3079,2.9787,7.6519
11:08.5,-0.6251,3.0556,6.9494
11:08.5,0.5455,3.488,7.0313
11:08.5,2.2947,4.0989,9.105
11:08.5,2.2024,2.6243,10.9514
11:08.6,1.2207,1.4048,9.1267
11:08.6,0.2856,3.1686,9.4208
11:08.6,1.7623,1.6991,9.5683
11:08.6,0.5293,1.569,10.8388
11:08.6,0.125,0.9255,11.908
11:08.7,0.751,1.9051,12.5774
11:08.7,0.7215,3.4686,9.7408
11:08.7,2.3603,4.5857,7.9962
11:08.7,1.7837,3.3867,6.4122
11:08.7,2.3498,2.9697,7.466
11:08.8,4.0646,5.4442,4.9275
11:08.8,4.1479,5.5982,10.1106
11:08.8,3.121,5.0734,10.609
11:08.8,2.9342,4.1998,9.5395
11:08.8,3.9891,2.7345,5.6189
11:08.9,5.9141,3.1744,10.6315
11:08.9,6.9345,4.8495,10.2026
11:08.9,6.4558,4.2163,8.4745
11:08.9,4.9375,3.2171,8.7363
11:08.9,3.8036,3.741,7.5296
11:09.0,3.0334,3.7982,6.6221
11:09.0,4.6775,3.9072,5.8307
11:09.0,6.2856,3.9979,7.2099
11:09.0,6.0179,3.563,6.4148
11:09.0,4.2619,3.3867,5.9633
11:09.1,2.9505,2.9218,4.2251
11:09.1,1.6171,3.3548,4.31
11:09.1,-0.6245,2.2001,6.0127
11:09.1,-1.5741,2.433,6.3562
11:09.1,-1.1659,2.9083,6.7125
11:09.2,-0.6832,2.5163,8.0308
11:09.2,0.4527,2.5273,9.5374
11:09.2,0.7945,1.96,8.7035
11:09.2,1.0547,1.471,7.8926
11:09.2,0.8225,0.6143,10.3909
11:09.3,2.2155,2.163,15.9691
11:09.3,1.8237,2.0013,14.9993
11:09.3,1.0914,1.6846,10.6048
11:09.3,1.6208,1.6586,10.821
11:09.3,4.4428,1.6021,9.8673
11:09.4,3.5642,0.2837,10.9253
11:09.4,-0.7387,1.021,9.9533
11:09.4,5.7943,0.8996,6.5073
11:09.4,7.3262,1.6297,12.0772
11:09.4,2.8691,2.0561,8.4662
11:09.5,1.2747,2.0831,9.8583
11:09.5,0.9571,3.1201,6.408
11:09.5,4.3787,3.6026,5.2095
11:09.5,6.4425,1.3247,4.1724
11:09.5,6.5242,-2.9664,8.6299
11:09.6,6.78,-1.566,10.997
11:09.6,4.4884,1.2755,7.1634
11:09.6,4.1537,4.0355,7.0331
11:09.6,4.188,3.787,8.1248
11:09.6,4.9854,3.1375,7.8277
11:09.7,5.5976,4.3601,7.1851
11:09.7,5.9736,4.3714,5.1126
11:09.7,6.2306,4.3532,3.3815
11:09.7,6.4924,4.7186,3.3945
11:09.7,8.1006,5.3792,5.2509
11:09.8,9.2933,4.2209,7.6295
11:09.8,9.2338,2.0501,9.0285
11:09.8,8.3431,1.4497,7.4002
11:09.8,8.9951,3.4801,5.7982
11:09.8,9.895,5.1598,4.8782
11:09.9,11.1105,6.4975,4.3112
11:09.9,11.2873,6.7706,4.0693
11:09.9,11.5485,6.5433,3.7352
11:09.9,10.7601,5.4175,4.7832
11:09.9,9.0198,4.8694,4.1354
11:10.0,8.8271,6.3428,2.9968
11:10.0,8.2405,7.9832,2.7757
11:10.0,8.0172,8.8744,3.6054
11:10.0,8.3249,8.4068,3.6511
11:10.0,8.7011,8.1511,2.6751
11:10.1,8.2784,8.7063,1.0387
11:10.1,7.2687,9.4326,0.2856
11:10.1,6.588,9.2603,0.6061
11:10.1,6.1655,8.0179,1.1517
11:10.1,5.522,7.3916,0.5606
11:10.2,5.1376,7.4783,0.257
11:10.2,4.3158,7.848,0.2652
11:10.2,4.2051,9.1626,0.279
11:10.2,2.6074,10.7882,-0.3387
11:10.2,-1.5985,9.3322,0.314
11:10.3,-2.1465,8.0127,-1.0878
11:10.3,0.904,6.5662,-0.5139
11:10.3,3.9004,5.5838,0.1874
11:10.3,6.9478,9.6889,-0.8781
11:10.3,7.8889,11.7016,-2.7107
11:10.4,8.2863,10.474,-3.1539
11:10.4,6.5234,8.6694,-1.1441
11:10.4,7.0698,8.8466,-0.9981
11:10.4,7.8036,9.1478,-2.7612
11:10.4,7.44,9.188,-3.1698
11:10.5,6.421,8.7186,-2.1169
11:10.5,6.026,7.3222,-1.5325
11:10.5,6.0393,4.4965,-1.4216
11:10.5,7.262,4.4769,-1.2718
11:10.5,7.0243,3.1599,-1.0227
11:10.6,6.3568,3.5803,-0.2132
11:10.6,5.6213,3.4315,-0.5576
11:10.6,3.9703,4.2013,0.8448
11:10.6,2.8333,4.8005,1.6145
11:10.6,3.7463,6.0985,0.1956
11:10.7,4.0542,6.3173,-1.8235
11:10.7,4.6546,6.5314,-1.7945
11:10.7,5.0851,6.3423,-0.7829
11:10.7,7.2913,8.2597,1.4152
11:10.7,8.4888,9.394,1.4199
11:10.8,7.607,9.0343,1.3854
11:10.8,7.7717,9.4144,0.8167
11:10.8,8.9949,7.7823,1.1155
11:10.8,10.2094,7.4415,-0.27
11:10.8,10.9114,8.2984,-1.2471
11:10.9,10.546,8.1435,-0.3649
11:10.9,9.1967,7.7512,0.6817
11:10.9,7.0677,6.912,0.9535
11:10.9,5.4349,7.5864,0.1159
11:10.9,7.1451,7.8679,-0.0087
11:11.0,6.236,7.8199,1.0779
11:11.0,5.934,6.9125,0.8362
11:11.0,5.5494,6.7978,0.7957
11:11.0,6.3083,7.7067,3.6431
11:11.0,7.3063,7.3211,3.2734
11:11.1,6.6376,6.5423,1.5008
11:11.1,6.0709,6.551,0.5985
11:11.1,6.0494,6.0887,0.2667
11:11.1,6.6876,6.9273,1.0227
11:11.1,6.7556,6.7896,0.9879
11:11.2,6.836,5.8705,1.7554
11:11.2,4.6192,4.6529,1.8675
11:11.2,6.3476,5.8406,1.659
11:11.2,5.7886,5.603,-1.6705
11:11.2,4.773,5.3768,-2.5664
11:11.3,4.8761,5.6997,-0.9354
11:11.3,4.0519,5.3383,1.1231
11:11.3,0.9282,4.1834,1.4494
11:11.3,-0.7571,5.0474,2.1558
11:11.3,-1.3078,5.947,1.8617
11:11.4,-2.5032,8.1215,-0.242
11:11.4,-6.6523,14.4903,-3.236
11:11.4,-3.4072,19.7171,-7.632
11:11.4,8.3493,20.5554,-9.6558
11:11.4,11.6763,17.7928,-1.3982
11:11.5,7.2873,10.5703,7.5374
11:11.5,1.9334,6.8346,3.2174
11:11.5,2.4895,8.9373,-4.5824
11:11.5,3.8037,8.4909,-1.2448
11:11.5,3.8831,9.0619,-0.3459
11:11.6,2.6947,9.313,-0.5375
11:11.6,3.362,9.4719,-0.0644
11:11.6,3.4714,8.9467,-0.9483
11:11.6,3.6579,9.2145,-0.6928
11:11.6,3.8668,9.3928,-0.2163
11:11.7,3.9959,8.9687,-0.1781
11:11.7,3.9666,8.6749,-0.535
11:11.7,3.9287,8.8456,-0.0248
11:11.7,3.9971,8.9734,0.3516
11:11.7,4.1835,9.0562,0.1138
11:11.8,4.0929,8.8665,-0.5821
11:11.8,4.2212,8.8439,-0.3971
11:11.8,4.33,8.7598,-0.6752
11:11.8,4.0395,8.7836,-0.0365
11:11.8,3.6811,8.9479,-0.4072
11:11.9,3.328,8.8427,-0.1546
11:11.9,3.2506,8.9442,-0.6007
11:11.9,3.5764,8.9738,-0.5001
11:11.9,3.8193,9.1719,-0.4977
11:11.9,3.5924,9.3596,-0.7817
11:12.0,3.5313,9.4247,-0.8113
11:12.0,3.6136,9.3172,-0.6344
11:12.0,3.4827,9.2545,-0.5525
11:12.0,3.3439,9.0205,-0.7457
11:12.0,3.3584,9.0171,-0.5726
11:12.1,3.4569,9.0672,-0.6074
11:12.1,3.7165,8.9502,-0.9483
11:12.1,3.8702,9.2258,-1.0779
